rank_foreign,title,domestic_gross,release_year,distributor,origin_country,origin_name
1,"Crouching Tiger, Hidden Dragon",128078872,2000,Sony Pictures Classics,HK,Hong Kong
2,Life Is Beautiful,57247384,1998,Miramax,IT,Italy
3,Godzilla Minus One,57144669,2023,Toho,JP,Japan
4,Hero,53710019,2004,Miramax,CN,China
5,Parasite,53369749,2019,Neon,KR,South Korea
6,Instructions Not Included,44467206,2013,Lionsgate,MX,Mexico
7,Pan's Labyrinth,37634615,2006,Picturehouse,MX,Mexico
8,Amélie,33225499,2001,Miramax,FR,France
9,Fearless,24633730,2006,Rogue Pictures,CN,China
10,Ne Zha 2,23308176,2025,CMC Pictures,CN,China
11,The Postman,21848932,1995,Miramax,IT,Italy
12,Like Water for Chocolate,21665468,1993,Miramax,MX,Mexico
13,La Cage aux Folles,20424259,1979,Metro-Goldwyn-Mayer (MGM),FR,France
14,Baahubali 2: The Conclusion,20186659,2017,Great India Films,IN,India
15,Kung Fu Hustle,17108591,2005,Sony Pictures Classics,HK,Hong Kong
16,The Motorcycle Diaries,16781387,2004,Focus Features,AR,Argentina
17,Iron Monkey,14694904,2001,Miramax,HK,Hong Kong
18,Monsoon Wedding,13885966,2002,USA Films,US,United States
19,Y tu mamá también,13839658,2002,IFC Films,MX,Mexico
20,Volver,12899867,2006,Sony Pictures Classics,ES,Spain
21,Under the Same Moon,12590147,2008,The Weinstein Company,,
22,Dangal,12391761,2016,UTV Motion Pictures,IN,India
23,The Protector,12044087,2006,Dragon Dynasty,TH,Thailand
24,Cinema Paradiso,11990401,1990,Miramax,IT,Italy
25,Padmaavat,11846060,2018,Viva Pictures,IN,India
26,No Manches Frida,11528613,2016,Pantelion Films,MX,Mexico
27,The Lives of Others,11286112,2007,Sony Pictures Classics,DE,Germany
28,Brotherhood of the Wolf,11260096,2002,Universal Pictures,FR,France
29,House of Flying Daggers,11050094,2004,Sony Pictures Classics,CN,China
30,Das Boot,10915250,1982,Columbia Pictures,DE,Germany
31,PK,10616104,2014,UTV Motion Pictures,IN,India
32,La Vie En Rose,10301706,2007,Picturehouse,FR,France
33,The Intouchables,10198820,2012,The Weinstein Company,FR,France
34,The Girl with the Dragon Tattoo,10095170,2010,Music Box Films,SE,Sweden
35,Spirited Away,10055859,2002,Walt Disney Studios Motion Pictures,JP,Japan
36,Shall We Dance?,9499091,1997,Miramax,JP,Japan
37,Seducing Doctor Lewis,9354342,2003,Odeon,CA,Canada
38,Talk to Her,9285469,2002,Sony Pictures Classics,ES,Spain
39,No Manches Frida 2,9270920,2019,Pantelion Films,MX,Mexico
40,Huevos: Little Rooster's Egg-cellent Adventure,9080818,2015,Lionsgate,MX,Mexico
41,My Life as a Dog,8345266,1987,Skouras Pictures,SE,Sweden
