rank_adjusted,title,adjusted_gross,nominal_gross,est_tickets,release_year,decade,inflation_multiple
1,Gone with the Wind,1895421694,200882193,202286200,1939,1930,9.44
2,Star Wars: Episode IV - A New Hope,1668979715,460998507,178119500,1977,1970,3.62
3,The Sound of Music,1335086324,160888776,142485200,1965,1960,8.3
4,E.T. the Extra-Terrestrial,1329174791,439454989,141854300,1982,1980,3.02
5,Titanic,1270101626,674354882,135549800,1997,1990,1.88
6,The Ten Commandments,1227470000,65500000,131000000,1956,1950,18.74
7,Jaws,1200856389,280083300,128159700,1975,1970,4.29
8,Doctor Zhivago,1163149635,111721910,124135500,1965,1960,10.41
9,The Exorcist,1036314504,233005644,110599200,1973,1970,4.45
10,Snow White and the Seven Dwarfs,1021330000,184925486,109000000,1937,1930,5.52
11,Star Wars: Episode VII - The Force Awakens,1013038487,936662225,108115100,2015,2010,1.08
12,One Hundred and One Dalmatians,936225101,144880014,99917300,1961,1960,6.46
13,Star Wars: Episode V - The Empire Strikes Back,920818947,292753960,98273100,1980,1980,3.15
14,Ben-Hur,918699453,74432704,98046900,1959,1950,12.34
15,Avatar,911790952,785221649,97309600,2009,2000,1.16
16,Avengers: Endgame,892669593,858373000,95268900,2019,2010,1.04
17,Star Wars: Episode VI - Return of the Jedi,881336578,316566101,94059400,1983,1980,2.78
18,Jurassic Park,860163189,407185075,91799700,1993,1990,2.11
19,Star Wars: Episode I - The Phantom Menace,846224377,487576624,90312100,1999,1990,1.74
20,The Lion King,835301768,424979720,89146400,1994,1990,1.97
21,The Sting,835268973,156000000,89142900,1973,1970,5.35
22,Raiders of the Lost Ark,829651658,248159971,88543400,1981,1980,3.34
23,The Graduate,801854616,104945305,85576800,1967,1960,7.64
24,Fantasia,778117595,76408097,83043500,1941,1940,10.18
25,The Godfather,739503825,136381073,78922500,1972,1970,5.42
26,Forrest Gump,736829627,330455270,78637100,1994,1990,2.23
27,Mary Poppins,732563466,102272727,78181800,1964,1960,7.16
28,Grease,722413882,190071103,77098600,1978,1970,3.8
29,The Avengers,720376844,623357910,76881200,2012,2010,1.16
30,Jurassic World,719633803,653406625,76801900,2015,2010,1.1
31,Black Panther,715038755,700426566,76311500,2018,2010,1.02
32,Thunderball,700876000,63595658,74800000,1965,1960,11.02
33,The Dark Knight,697722995,534987076,74463500,2008,2000,1.3
34,The Jungle Book,690380663,141843612,73679900,1967,1960,4.87
35,Sleeping Beauty,680974120,51600000,72676000,1959,1950,13.2
36,Avengers: Infinity War,678572589,678815482,72419700,2018,2010,1.0
37,Ghostbusters,667872049,243640120,71277700,1984,1980,2.74
38,Shrek 2,665746933,444978202,71050900,2004,2000,1.5
39,Spider-Man,661768431,408524875,70626300,2002,2000,1.62
40,Butch Cassidy and the Sundance Kid,661127523,102308889,70557900,1969,1960,6.46
41,Love Story,656035865,106550690,70014500,1970,1970,6.16
42,Independence Day,649049593,306169268,69268900,1996,1990,2.12
43,Home Alone,634669454,285761243,67734200,1990,1990,2.22
44,Star Wars: Episode VIII - The Last Jedi,633360465,620181382,67594500,2017,2010,1.02
